"id","created_at","user_id","product_id","discount","quantity","subtotal","tax","total"
1,"2019-02-11 21:40:27.892",1,14,NULL,2,37.648145389078365,2.07,39.718145389078366
2,"2018-05-15 08:04:04.58",1,123,NULL,3,110.93145648834248,6.1,117.0376564084763
3,"2019-12-06 22:22:48.544",1,105,6.416679208849759,2,52.723521442619514,2.9,55.62208681964182
4,"2019-08-22 16:30:42.392",1,94,NULL,6,109.21864156655383,6.01,115.2207354961295
5,"2018-10-10 03:34:47.309",1,132,NULL,5,127.88197029833711,7.03,134.94192935296473
6,"2019-11-06 16:38:50.134",1,60,NULL,3,29.80214751859149,1.64,31.441679133237017
7,"2018-09-11 11:22:26.521",1,55,NULL,5,95.77128575934437,5.27,101.06105102213039
8,"2019-06-17 02:37:41.693",1,65,8.653952930206964,7,68.22769726470014,3.75,71.9646003804807
9,"2017-05-03 16:00:54.923",1,184,3.594742155259162,3,77.3982748679465,4.26,81.6742695904106
10,"2020-01-17 01:44:37.233",1,6,NULL,2,97.43621265344382,5.36,102.77055805103969
11,"2018-07-22 20:31:01.969",1,76,NULL,6,63.82421061366486,3.51,67.30535713840213
12,"2018-06-26 23:21:13.271",3,7,NULL,7,148.22900526552291,10.19,158.44538230476374
13,"2019-04-06 01:04:43.973",3,70,2.1173410336074987,2,57.493003808959784,3.95,61.42339339833593
14,"2017-05-25 20:50:37.137",3,139,NULL,4,51.18512212784679,3.52,54.67137322414436
15,"2018-06-26 02:24:38.715",3,116,NULL,5,114.42485125407785,7.87,122.30918146348135
16,"2017-12-14 11:28:30.031",3,68,NULL,1,76.82895921539838,5.28,82.15964553750338
17,"2020-02-06 12:14:36.282",3,48,NULL,1,123.20884248534108,8.47,131.65987891080385
18,"2020-04-10 23:29:46.804",3,12,NULL,2,116.01427581618326,7.98,123.93528398902329
19,"2019-02-14 07:28:31.104",3,136,NULL,1,105.20402317157343,7.23,112.53044509193751
20,"2018-04-21 04:18:01.863",3,160,9.480671222888349,4,47.59120561297272,3.27,50.86583592650371
21,"2018-05-02 03:57:22.388",3,94,NULL,5,109.21864156655383,7.51,116.62982729669602
22,"2019-12-12 21:32:01.533",4,10,6.752650070439861,1,47.6793282102869,1.38,49.056071014283766
23,"2019-06-02 11:33:15.096",4,85,NULL,5,54.90104734428525,1.59,56.5115886738793
24,"2019-09-20 17:28:38.643",4,14,NULL,6,37.648145389078365,1.09,38.74860139651864
25,"2019-12-21 12:23:13.696",4,97,NULL,2,112.41825444654248,3.26,115.64052715703252
26,"2018-06-20 02:18:00.254",5,40,NULL,5,99.66240044231697,3.99,103.57613671689575
27,"2019-04-28 07:01:15.932",6,14,NULL,2,37.648145389078365,1.51,39.11528698753412
28,"2018-05-23 18:15:24.432",6,49,9.145059274307002,4,131.42865839323724,5.26,136.77951877238795
29,"2018-03-07 22:56:54.735",6,45,NULL,1,118.0495173798411,4.72,122.6773063807222
30,"2019-04-15 12:24:20.17",6,179,NULL,3,68.32408657333919,2.73,71.02493653936602
31,"2018-05-22 04:28:04.569",7,191,NULL,6,128.5841852057933,9,137.8019637279584
32,"2018-06-04 05:11:15.294",7,82,NULL,7,60.89545738030947,4.26,65.15833624900348
33,"2019-06-18 11:17:03.676",7,172,6.481030997355338,4,122.3651993029456,8.57,130.97012158989244
34,"2019-01-04 21:12:38.428",7,3,NULL,1,53.08311732230858,3.72,56.80533257859876
35,"2017-10-10 01:37:18.769",7,21,NULL,5,40.38334406304544,2.83,43.27836200894579
36,"2018-07-04 00:34:31.322",7,145,NULL,4,61.1983004605443,4.28,65.52684708658961
37,"2017-08-30 12:40:52.641",7,17,NULL,4,53.290720311951766,3.73,57.008904417553445
38,"2018-07-25 23:27:34.53",7,39,NULL,5,114.58158180283459,8.02,122.43499029028857
39,"2018-05-09 03:09:25.897",7,142,NULL,4,70.34853057210945,4.92,75.38095754001415
40,"2019-11-21 23:35:02.479",7,101,NULL,2,139.82488066180403,9.79,149.7360813013385
41,"2018-12-04 00:08:37.569",7,51,NULL,2,75.65058751905018,5.3,81.10438260941211
42,"2019-11-16 08:11:08.666",7,145,NULL,3,61.1983004605443,4.28,65.5559297559252
43,"2019-11-03 20:24:38.219",8,193,NULL,3,50.38077396807232,3.27,53.70507001111754
44,"2017-10-01 14:47:29.444",8,101,NULL,6,93.21658710786936,6.06,99.33443001127412
45,"2017-09-25 00:11:10.923",8,141,NULL,5,84.13541698384589,5.47,89.70210897202662
46,"2018-06-14 03:09:15.751",8,8,NULL,4,98.83823503993958,6.42,105.27220156289907
47,"2018-07-06 00:35:40.063",8,104,NULL,4,106.44215255778118,6.92,113.50392637210302
48,"2019-05-16 20:17:06.72",8,140,NULL,5,66.80312547576881,4.34,71.2513752413769
49,"2019-11-17 09:19:09.682",8,157,NULL,3,139.8942352373801,9.09,149.0971082279313
50,"2018-01-01 07:26:31.444",8,12,NULL,2,116.01427581618326,7.54,123.55572117178238
51,"2017-12-06 03:46:28.378",8,114,NULL,2,51.94130981241432,3.38,55.25485080738503
52,"2018-07-15 23:04:22.325",9,34,NULL,3,74.30391386913199,4.46,78.65666201120496
